Nº Pedido,Cliente - Motorista,Data Emissão Pedido,Data Entrega Prevista,Destino,Itens,R$ Faturados,Saída para Entrega,Data Entrega Real, Qtd Devolução,Mot. Devolução,Dias Para Entrega,Status
A60,MAGAZINE LUIZA-JOÃO GOMES,2019-04-13,2019-04-23,SP,11,182.60000000000005,2019-04-20,2019-04-26,3,Danificado,13,Atrasado
A61,MAGAZINE LUIZA-JOÃO GOMES,2019-04-14,2019-04-24,RJ,1,31.799999999999997,2019-04-29,2019-05-01,1,Produto Errado,17,Atrasado
A64,WALMART-VALDIR ESPINOSA,2019-04-16,2019-04-26,SP,16,264.00000000000006,2019-04-20,2019-04-22,3,Danificado,6,No Prazo
A69,WALMART-MARCOS LEROY,2019-04-24,2019-05-04,BH,13,423.8,2019-05-01,2019-05-02,0,S/ Devolu.,8,No Prazo
A70,MAGAZINE LUIZA-FELIPE SILVA,2019-04-24,2019-05-04,SP,17,543.9999999999999,2019-05-09,2019-05-10,2,Produto Errado,16,Atrasado
A71,CASAS BAHIA-MARCOS LEROY,2019-04-25,2019-05-05,SP,13,616.1999999999999,2019-05-08,2019-05-12,8,Produto Errado,17,Atrasado
A76,CASAS BAHIA-LUIZ PARDAL,2019-04-28,2019-05-08,SP,10,157.0,2019-05-09,2019-05-12,2,Danificado,14,Atrasado
A77,CASAS BAHIA-LUIZ PARDAL,2019-04-29,2019-05-09,SP,4,131.20000000000002,2019-05-10,2019-05-12,0,S/ Devolu.,13,Atrasado
A78,MAGAZINE LUIZA-MARCOS LEROY,2019-04-29,2019-05-09,BH,11,170.5,2019-05-12,2019-05-14,6,Danificado,15,Atrasado
A82,CASA E VIDEO-LUIZ PARDAL,2019-05-05,2019-05-15,BH,13,214.50000000000006,2019-05-11,2019-05-18,1,Arrependimento,13,Atrasado
A83,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-05-05,2019-05-15,RJ,14,447.99999999999994,2019-05-20,2019-05-21,0,S/ Devolu.,16,Atrasado
A85,CASAS BAHIA-MARCOS LEROY,2019-05-06,2019-05-16,BH,14,467.6000000000002,2019-05-11,2019-05-19,3,Produto Errado,13,Atrasado
A90,AMERICANAS-VALDIR ESPINOSA,2019-05-10,2019-05-20,SP,2,97.80000000000001,2019-05-12,2019-05-15,2,Danificado,5,No Prazo
A100,AMERICANAS-JOÃO GOMES,2019-05-17,2019-05-27,RJ,14,229.60000000000002,2019-05-19,2019-06-03,4,Danificado,17,Atrasado
A101,WALMART-MARCOS LEROY,2019-05-17,2019-05-27,RJ,4,65.2,2019-05-30,2019-06-05,2,Produto Errado,19,Atrasado
A103,CASAS BAHIA-VALDIR ESPINOSA,2019-05-18,2019-05-28,SP,1,33.20000000000001,2019-05-31,2019-06-03,1,Produto Errado,16,Atrasado
A105,WALMART-TÚLIO SILVEIRA,2019-05-19,2019-05-29,SP,19,855.0,2019-05-28,2019-05-31,1,Danificado,12,Atrasado
A106,WALMART-MARCOS LEROY,2019-05-19,2019-05-29,SP,17,574.6000000000004,2019-05-30,2019-06-02,8,Produto Errado,14,Atrasado
A109,WALMART-FELIPE SILVA,2019-05-20,2019-05-30,BH,10,340.0000000000002,2019-05-22,2019-05-27,0,S/ Devolu.,7,No Prazo
A110,MAGAZINE LUIZA-LUIZ PARDAL,2019-05-21,2019-05-31,RJ,7,340.2,2019-05-31,2019-06-04,0,S/ Devolu.,14,Atrasado
A111,MAGAZINE LUIZA-FELIPE SILVA,2019-05-21,2019-05-31,RJ,8,136.00000000000009,2019-05-24,2019-06-05,1,Produto Errado,15,Atrasado
A112,CASAS BAHIA-VALDIR ESPINOSA,2019-05-22,2019-06-01,SP,6,97.19999999999999,2019-05-25,2019-05-29,1,Danificado,7,No Prazo
A113,MAGAZINE LUIZA-LUIZ PARDAL,2019-05-22,2019-06-01,RJ,10,340.0000000000002,2019-05-24,2019-06-01,0,S/ Devolu.,10,No Prazo
A120,WALMART-TÚLIO SILVEIRA,2019-05-27,2019-06-06,RJ,20,316.0,2019-06-06,2019-06-11,1,Produto Errado,15,Atrasado
A121,MAGAZINE LUIZA-JOÃO GOMES,2019-05-28,2019-06-07,BH,6,198.00000000000006,2019-06-04,2019-06-12,0,S/ Devolu.,15,Atrasado
A126,WALMART-TÚLIO SILVEIRA,2019-05-31,2019-06-10,RJ,19,298.3,2019-06-03,2019-06-14,1,Danificado,14,Atrasado
A128,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-06-02,2019-06-12,SP,2,33.600000000000016,2019-06-03,2019-06-11,1,Danificado,9,No Prazo
A131,AMERICANAS-LUIZ PARDAL,2019-06-04,2019-06-14,BH,6,97.80000000000001,2019-06-05,2019-06-16,0,S/ Devolu.,12,Atrasado
A132,WALMART-LUIZ PARDAL,2019-06-04,2019-06-14,BH,7,109.89999999999999,2019-06-10,2019-06-17,1,Danificado,13,Atrasado
A135,WALMART-JOÃO GOMES,2019-06-05,2019-06-15,BH,12,405.60000000000025,2019-06-11,2019-06-16,1,Danificado,11,Atrasado
A139,WALMART-LUIZ PARDAL,2019-06-07,2019-06-17,RJ,17,815.9999999999999,2019-06-18,2019-06-21,0,S/ Devolu.,14,Atrasado
A142,AMERICANAS-MARCOS LEROY,2019-06-08,2019-06-18,RJ,9,437.4,2019-06-10,2019-06-13,1,Danificado,5,No Prazo
A143,WALMART-FELIPE SILVA,2019-06-09,2019-06-19,RJ,19,963.3000000000005,2019-06-10,2019-06-21,2,Produto Errado,12,Atrasado
A145,CASAS BAHIA-LUIZ PARDAL,2019-06-12,2019-06-22,BH,13,434.20000000000016,2019-06-16,2019-06-24,3,Danificado,12,Atrasado
A147,WALMART-TÚLIO SILVEIRA,2019-06-13,2019-06-23,SP,13,421.2,2019-06-17,2019-06-18,0,S/ Devolu.,5,No Prazo
A148,CASAS BAHIA-VALDIR ESPINOSA,2019-06-15,2019-06-25,RJ,8,405.60000000000025,2019-06-21,2019-06-29,0,S/ Devolu.,14,Atrasado
A149,CASAS BAHIA-MARCOS LEROY,2019-06-15,2019-06-25,BH,8,388.79999999999995,2019-06-20,2019-06-26,7,Danificado,11,Atrasado
A150,WALMART-VALDIR ESPINOSA,2019-06-16,2019-06-26,RJ,11,360.80000000000007,2019-06-19,2019-06-26,2,Produto Errado,10,No Prazo
A152,CASAS BAHIA-VALDIR ESPINOSA,2019-06-17,2019-06-27,BH,9,429.29999999999995,2019-06-20,2019-06-22,0,S/ Devolu.,5,No Prazo
A154,AMERICANAS-TÚLIO SILVEIRA,2019-06-17,2019-06-27,SP,1,45.0,2019-06-23,2019-06-30,1,Produto Errado,13,Atrasado
A160,WALMART-LUIZ PARDAL,2019-06-21,2019-07-01,RJ,7,233.8000000000001,2019-07-03,2019-07-06,2,Danificado,15,Atrasado
A161,MAGAZINE LUIZA-MARCOS LEROY,2019-06-22,2019-07-02,RJ,7,338.09999999999997,2019-07-07,2019-07-08,5,Danificado,16,Atrasado
A167,WALMART-LUIZ PARDAL,2019-06-27,2019-07-07,SP,17,810.9,2019-06-28,2019-07-05,0,S/ Devolu.,8,No Prazo
A168,CASAS BAHIA-TÚLIO SILVEIRA,2019-06-27,2019-07-07,SP,8,268.8000000000001,2019-07-06,2019-07-15,1,Danificado,18,Atrasado
A170,MAGAZINE LUIZA-FELIPE SILVA,2019-06-28,2019-07-08,SP,16,806.4000000000003,2019-07-04,2019-07-12,0,S/ Devolu.,14,Atrasado
A171,MAGAZINE LUIZA-JOÃO GOMES,2019-06-29,2019-07-09,BH,16,811.2000000000005,2019-06-30,2019-07-10,0,S/ Devolu.,11,Atrasado
A178,CASAS BAHIA-JOÃO GOMES,2019-07-01,2019-07-11,RJ,18,586.8000000000001,2019-07-12,2019-07-19,4,Danificado,18,Atrasado
A179,WALMART-LUIZ PARDAL,2019-07-01,2019-07-11,BH,9,437.4,2019-07-07,2019-07-17,2,Produto Errado,16,Atrasado
A181,CASA E VIDEO-LUIZ PARDAL,2019-07-03,2019-07-13,SP,16,240.0,2019-07-06,2019-07-16,0,S/ Devolu.,13,Atrasado
A182,AMERICANAS-LUIZ PARDAL,2019-07-03,2019-07-13,RJ,20,942.0,2019-07-12,2019-07-17,2,Danificado,14,Atrasado
A185,AMERICANAS-LUIZ PARDAL,2019-07-05,2019-07-15,BH,16,806.4000000000003,2019-07-12,2019-07-18,1,Produto Errado,13,Atrasado
A186,CASA E VIDEO-MARCOS LEROY,2019-07-06,2019-07-16,BH,11,180.40000000000003,2019-07-12,2019-07-22,10,Danificado,16,Atrasado
A190,WALMART-VALDIR ESPINOSA,2019-07-07,2019-07-17,BH,8,262.40000000000003,2019-07-09,2019-07-17,0,S/ Devolu.,10,No Prazo
A191,CASAS BAHIA-LUIZ PARDAL,2019-07-07,2019-07-17,SP,14,473.2000000000003,2019-07-12,2019-07-22,0,S/ Devolu.,15,Atrasado
A192,CASAS BAHIA-LUIZ PARDAL,2019-07-08,2019-07-18,SP,15,232.5,2019-07-16,2019-07-21,1,Produto Errado,13,Atrasado
A195,AMERICANAS-LUIZ PARDAL,2019-07-10,2019-07-20,BH,20,334.0000000000001,2019-07-20,2019-07-26,0,S/ Devolu.,16,Atrasado
A197,WALMART-VALDIR ESPINOSA,2019-07-10,2019-07-20,RJ,16,240.0,2019-07-19,2019-07-27,0,S/ Devolu.,17,Atrasado
A200,WALMART-VALDIR ESPINOSA,2019-07-12,2019-07-22,RJ,13,585.0,2019-07-17,2019-07-27,2,Produto Errado,15,Atrasado
A204,AMERICANAS-MARCOS LEROY,2019-07-13,2019-07-23,BH,11,356.4,2019-07-16,2019-07-21,1,Arrependimento,8,No Prazo
A205,WALMART-FELIPE SILVA,2019-07-13,2019-07-23,BH,9,147.60000000000002,2019-07-14,2019-07-24,0,S/ Devolu.,11,Atrasado
A208,WALMART-JOÃO GOMES,2019-07-16,2019-07-26,RJ,15,486.0,2019-07-17,2019-07-20,1,Produto Errado,4,No Prazo
A209,CASAS BAHIA-LUIZ PARDAL,2019-07-16,2019-07-26,SP,7,231.00000000000006,2019-07-21,2019-07-28,0,S/ Devolu.,12,Atrasado
A212,AMERICANAS-JOÃO GOMES,2019-07-18,2019-07-28,BH,2,98.4,2019-07-25,2019-08-04,2,Produto Errado,17,Atrasado
A213,CASAS BAHIA-JOÃO GOMES,2019-07-18,2019-07-28,RJ,12,583.1999999999999,2019-07-25,2019-07-29,3,Produto Errado,11,Atrasado
A218,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-07-21,2019-07-31,RJ,3,150.30000000000007,2019-07-25,2019-08-01,1,Danificado,11,Atrasado
A219,CASAS BAHIA-MARCOS LEROY,2019-07-21,2019-07-31,RJ,10,310.0,2019-07-28,2019-07-29,10,Danificado,8,No Prazo
A222,CASAS BAHIA-JOÃO GOMES,2019-07-22,2019-08-01,RJ,6,279.0,2019-07-27,2019-08-04,2,Danificado,13,Atrasado
A225,MAGAZINE LUIZA-MARCOS LEROY,2019-07-23,2019-08-02,BH,7,342.3,2019-07-29,2019-08-05,3,Danificado,13,Atrasado
A227,AMERICANAS-MARCOS LEROY,2019-07-25,2019-08-04,RJ,4,67.60000000000004,2019-07-26,2019-08-07,1,Danificado,13,Atrasado
A230,CASAS BAHIA-FELIPE SILVA,2019-07-26,2019-08-05,BH,7,338.09999999999997,2019-07-27,2019-08-08,0,S/ Devolu.,13,Atrasado
A235,WALMART-VALDIR ESPINOSA,2019-07-30,2019-08-09,SP,18,289.79999999999995,2019-08-08,2019-08-09,4,Danificado,10,No Prazo
A236,AMERICANAS-LUIZ PARDAL,2019-07-30,2019-08-09,BH,20,624.0,2019-08-02,2019-08-08,0,S/ Devolu.,9,No Prazo
A241,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-08-01,2019-08-11,RJ,3,99.00000000000003,2019-08-05,2019-08-10,0,S/ Devolu.,9,No Prazo
A242,WALMART-MARCOS LEROY,2019-08-01,2019-08-11,BH,10,330.00000000000006,2019-08-07,2019-08-15,4,Produto Errado,14,Atrasado
A246,WALMART-MARCOS LEROY,2019-08-03,2019-08-13,SP,17,280.50000000000006,2019-08-16,2019-08-18,1,Produto Errado,15,Atrasado
A247,WALMART-TÚLIO SILVEIRA,2019-08-04,2019-08-14,SP,20,312.0,2019-08-17,2019-08-21,3,Danificado,17,Atrasado
A248,AMERICANAS-MARCOS LEROY,2019-08-04,2019-08-14,SP,18,280.8,2019-08-16,2019-08-17,2,Arrependimento,13,Atrasado
A249,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-08-06,2019-08-16,RJ,5,84.50000000000004,2019-08-11,2019-08-18,2,Danificado,12,Atrasado
A252,CASAS BAHIA-FELIPE SILVA,2019-08-07,2019-08-17,SP,3,95.39999999999999,2019-08-17,2019-08-20,0,S/ Devolu.,13,Atrasado
A253,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-08-07,2019-08-17,BH,4,65.60000000000001,2019-08-13,2019-08-21,1,Arrependimento,14,Atrasado
A258,WALMART-JOÃO GOMES,2019-08-09,2019-08-19,BH,14,436.8,2019-08-11,2019-08-21,14,Produto Errado,12,Atrasado
A265,MAGAZINE LUIZA-JOÃO GOMES,2019-08-13,2019-08-23,SP,6,195.60000000000002,2019-08-15,2019-08-16,1,Produto Errado,3,No Prazo
A266,WALMART-FELIPE SILVA,2019-08-14,2019-08-24,RJ,10,504.0000000000002,2019-08-17,2019-08-22,3,Arrependimento,8,No Prazo
A267,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-08-14,2019-08-24,BH,11,356.4,2019-08-17,2019-08-29,2,Arrependimento,15,Atrasado
A269,WALMART-JOÃO GOMES,2019-08-14,2019-08-24,SP,4,62.4,2019-08-15,2019-08-30,2,Danificado,16,Atrasado
A270,WALMART-JOÃO GOMES,2019-08-14,2019-08-24,SP,20,326.0,2019-08-18,2019-08-28,14,Produto Errado,14,Atrasado
A272,MAGAZINE LUIZA-VALDIR ESPINOSA,2019-08-15,2019-08-25,BH,15,706.5,2019-08-17,2019-08-19,0,S/ Devolu.,4,No Prazo
A274,WALMART-TÚLIO SILVEIRA,2019-08-16,2019-08-26,RJ,13,215.80000000000007,2019-08-25,2019-08-31,2,Danificado,15,Atrasado
A275,CASAS BAHIA-LUIZ PARDAL,2019-08-17,2019-08-27,SP,4,125.6,2019-08-20,2019-08-21,0,S/ Devolu.,4,No Prazo
A277,AMERICANAS-MARCOS LEROY,2019-08-17,2019-08-27,SP,17,867.0000000000006,2019-08-18,2019-08-24,1,Produto Errado,7,No Prazo
A278,CASAS BAHIA-FELIPE SILVA,2019-08-17,2019-08-27,SP,16,787.2,2019-08-18,2019-08-29,3,Danificado,12,Atrasado
A279,CASA E VIDEO-FELIPE SILVA,2019-08-18,2019-08-28,BH,13,643.5000000000001,2019-08-20,2019-09-02,0,S/ Devolu.,15,Atrasado
A282,WALMART-VALDIR ESPINOSA,2019-08-20,2019-08-30,BH,14,714.0000000000005,2019-09-01,2019-09-08,0,S/ Devolu.,19,Atrasado
A283,CASAS BAHIA-JOÃO GOMES,2019-08-20,2019-08-30,SP,15,729.0,2019-08-27,2019-09-02,9,Danificado,13,Atrasado
A285,AMERICANAS-VALDIR ESPINOSA,2019-08-21,2019-08-31,BH,9,279.0,2019-08-30,2019-09-04,0,S/ Devolu.,14,Atrasado
A286,CASAS BAHIA-LUIZ PARDAL,2019-08-22,2019-09-01,SP,9,426.59999999999997,2019-09-04,2019-09-07,0,S/ Devolu.,16,Atrasado
A292,CASAS BAHIA-TÚLIO SILVEIRA,2019-08-23,2019-09-02,SP,2,94.19999999999999,2019-08-26,2019-08-31,2,Produto Errado,8,No Prazo
A293,WALMART-JOÃO GOMES,2019-08-24,2019-09-03,RJ,17,527.0,2019-09-03,2019-09-04,2,Danificado,11,Atrasado
A296,CASAS BAHIA-LUIZ PARDAL,2019-08-25,2019-09-04,SP,18,847.8,2019-09-02,2019-09-10,0,S/ Devolu.,16,Atrasado
A297,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-08-25,2019-09-04,RJ,11,341.0,2019-09-04,2019-09-06,1,Produto Errado,12,Atrasado
A301,CASAS BAHIA-JOÃO GOMES,2019-08-28,2019-09-07,RJ,2,63.599999999999994,2019-09-03,2019-09-09,2,Danificado,12,Atrasado
A304,WALMART-VALDIR ESPINOSA,2019-08-29,2019-09-08,RJ,16,782.4000000000001,2019-09-01,2019-09-15,0,S/ Devolu.,17,Atrasado
A305,MAGAZINE LUIZA-MARCOS LEROY,2019-08-30,2019-09-09,SP,7,344.40000000000003,2019-09-07,2019-09-14,1,Danificado,15,Atrasado
A307,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-08-31,2019-09-10,SP,19,623.2,2019-09-01,2019-09-19,0,S/ Devolu.,19,Atrasado
A311,WALMART-MARCOS LEROY,2019-09-01,2019-09-11,RJ,18,907.2000000000004,2019-09-09,2019-09-13,4,Danificado,12,Atrasado
A313,WALMART-TÚLIO SILVEIRA,2019-09-01,2019-09-11,RJ,2,66.00000000000001,2019-09-04,2019-09-16,0,S/ Devolu.,15,Atrasado
A315,CASAS BAHIA-VALDIR ESPINOSA,2019-09-03,2019-09-13,BH,2,62.8,2019-09-10,2019-09-20,0,S/ Devolu.,17,Atrasado
A317,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-09-04,2019-09-14,BH,19,634.6000000000003,2019-09-17,2019-09-19,0,S/ Devolu.,15,Atrasado
A319,CASAS BAHIA-FELIPE SILVA,2019-09-05,2019-09-15,BH,16,534.4000000000002,2019-09-12,2019-09-16,1,Danificado,11,Atrasado
A325,MAGAZINE LUIZA-LUIZ PARDAL,2019-09-07,2019-09-17,RJ,14,671.9999999999999,2019-09-08,2019-09-11,3,Produto Errado,4,No Prazo
A333,WALMART-TÚLIO SILVEIRA,2019-09-08,2019-09-18,RJ,14,663.5999999999999,2019-09-09,2019-09-23,0,S/ Devolu.,15,Atrasado
A336,MAGAZINE LUIZA-JOÃO GOMES,2019-09-10,2019-09-20,RJ,3,95.39999999999999,2019-09-23,2019-09-24,3,Danificado,14,Atrasado
A338,MAGAZINE LUIZA-MARCOS LEROY,2019-09-11,2019-09-21,SP,15,697.5,2019-09-12,2019-09-29,4,Danificado,18,Atrasado
A339,AMERICANAS-TÚLIO SILVEIRA,2019-09-11,2019-09-21,RJ,6,180.0,2019-09-13,2019-09-19,0,S/ Devolu.,8,No Prazo
A344,CASA E VIDEO-MARCOS LEROY,2019-09-14,2019-09-24,BH,9,291.59999999999997,2019-09-19,2019-09-20,7,Danificado,6,No Prazo
A345,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-09-14,2019-09-24,SP,9,144.89999999999998,2019-09-25,2019-09-27,0,S/ Devolu.,13,Atrasado
A346,AMERICANAS-MARCOS LEROY,2019-09-14,2019-09-24,BH,3,47.4,2019-09-22,2019-09-23,2,Danificado,9,No Prazo
A347,AMERICANAS-MARCOS LEROY,2019-09-15,2019-09-25,SP,12,540.0,2019-09-16,2019-09-21,3,Danificado,6,No Prazo
A352,CASAS BAHIA-FELIPE SILVA,2019-09-16,2019-09-26,BH,8,262.40000000000003,2019-09-21,2019-09-29,2,Produto Errado,13,Atrasado
A357,AMERICANAS-LUIZ PARDAL,2019-09-17,2019-09-27,RJ,15,239.99999999999997,2019-09-27,2019-09-29,0,S/ Devolu.,12,Atrasado
A358,CASA E VIDEO-LUIZ PARDAL,2019-09-17,2019-09-27,RJ,2,63.599999999999994,2019-09-28,2019-10-05,2,Produto Errado,18,Atrasado
A361,WALMART-LUIZ PARDAL,2019-09-19,2019-09-29,SP,20,656.0000000000001,2019-09-20,2019-09-30,3,Produto Errado,11,Atrasado
A365,WALMART-VALDIR ESPINOSA,2019-09-20,2019-09-30,RJ,10,157.0,2019-10-03,2019-10-04,0,S/ Devolu.,14,Atrasado
A366,WALMART-LUIZ PARDAL,2019-09-21,2019-10-01,BH,18,837.0,2019-09-26,2019-10-06,1,Arrependimento,15,Atrasado
A375,WALMART-TÚLIO SILVEIRA,2019-09-23,2019-10-03,BH,12,405.60000000000025,2019-09-25,2019-10-09,3,Produto Errado,16,Atrasado
A377,WALMART-LUIZ PARDAL,2019-09-24,2019-10-04,RJ,18,604.8000000000003,2019-10-09,2019-10-11,0,S/ Devolu.,17,Atrasado
A379,WALMART-VALDIR ESPINOSA,2019-09-24,2019-10-04,SP,17,795.6,2019-10-02,2019-10-03,3,Danificado,9,No Prazo
A380,WALMART-TÚLIO SILVEIRA,2019-09-25,2019-10-05,RJ,9,282.59999999999997,2019-10-03,2019-10-05,2,Arrependimento,10,No Prazo
A381,WALMART-FELIPE SILVA,2019-09-25,2019-10-05,RJ,12,381.59999999999997,2019-10-09,2019-10-13,0,S/ Devolu.,18,Atrasado
A382,CASAS BAHIA-FELIPE SILVA,2019-09-25,2019-10-05,RJ,16,521.6,2019-09-29,2019-10-09,3,Produto Errado,14,Atrasado
A386,AMERICANAS-MARCOS LEROY,2019-09-27,2019-10-07,BH,3,47.099999999999994,2019-10-03,2019-10-12,0,S/ Devolu.,15,Atrasado
A387,CASAS BAHIA-FELIPE SILVA,2019-09-27,2019-10-07,RJ,1,15.899999999999999,2019-10-03,2019-10-11,1,Danificado,14,Atrasado
A389,WALMART-MARCOS LEROY,2019-09-28,2019-10-08,BH,7,225.39999999999998,2019-10-02,2019-10-09,1,Produto Errado,11,Atrasado
A392,WALMART-FELIPE SILVA,2019-09-29,2019-10-09,BH,20,972.0,2019-10-04,2019-10-09,0,S/ Devolu.,10,No Prazo
A395,WALMART-FELIPE SILVA,2019-09-29,2019-10-09,RJ,14,714.0000000000005,2019-10-10,2019-10-11,1,Produto Errado,12,Atrasado
A401,CASAS BAHIA-JOÃO GOMES,2019-10-03,2019-10-13,SP,1,31.0,2019-10-07,2019-10-15,1,Produto Errado,12,Atrasado
A402,CASAS BAHIA-FELIPE SILVA,2019-10-03,2019-10-13,BH,9,270.0,2019-10-04,2019-10-16,1,Produto Errado,13,Atrasado
A403,WALMART-MARCOS LEROY,2019-10-03,2019-10-13,RJ,9,151.20000000000007,2019-10-10,2019-10-14,9,Danificado,11,Atrasado
A404,CASAS BAHIA-FELIPE SILVA,2019-10-04,2019-10-14,RJ,9,140.4,2019-10-13,2019-10-14,1,Danificado,10,No Prazo
A405,MAGAZINE LUIZA-TÚLIO SILVEIRA,2019-10-05,2019-10-15,RJ,20,959.9999999999999,2019-10-10,2019-10-19,1,Danificado,14,Atrasado
A406,AMERICANAS-MARCOS LEROY,2019-10-05,2019-10-15,SP,10,473.99999999999994,2019-10-11,2019-10-14,3,Produto Errado,9,No Prazo
A408,WALMART-JOÃO GOMES,2019-10-05,2019-10-15,BH,19,894.9,2019-10-07,2019-10-19,0,S/ Devolu.,14,Atrasado
A410,MAGAZINE LUIZA-JOÃO GOMES,2019-10-07,2019-10-17,BH,13,206.7,2019-10-16,2019-10-18,11,Danificado,11,Atrasado
A412,WALMART-FELIPE SILVA,2019-10-07,2019-10-17,BH,6,99.60000000000002,2019-10-16,2019-10-18,2,Arrependimento,11,Atrasado
A414,WALMART-TÚLIO SILVEIRA,2019-10-08,2019-10-18,RJ,5,158.0,2019-10-19,2019-10-22,0,S/ Devolu.,14,Atrasado
A415,MAGAZINE LUIZA-FELIPE SILVA,2019-10-08,2019-10-18,SP,6,282.59999999999997,2019-10-14,2019-10-18,1,Produto Errado,10,No Prazo
